,,,No. Pt. =,21,Fill in Cell E1 (no. of rows to read) and Columns A through K.,,,,,,,,,,,,,,,,,Calcite,,,,,Barite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,10,115,250,10000,9000,,,,1000,0,,,,8500,0,,,,10,,,6.867501820779884,-0.55571582379759,>1.0D,-66.18683011872207,7.004647816873634,,>1.0D,-5.820055218468034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,11,115,250,10000,10000,,,,1000,0,,,,8500,0,,,,10,,,6.867501820779884,-0.55571582379759,>1.0D,-66.18683011872207,7.004647816873634,,>1.0D,-5.820055218468034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,12,115,250,9000,11000,,,,1000,0,,,,8500,0,,,,10,,,6.8653655902996285,-0.5580537842976695,>1.0D,-66.7097363411194,7.002084340299629,,>1.0D,-5.820055220397874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,13,115,250,8000,12000,,,,1000,0,,,,8500,0,,,,10,,,6.863656605910248,-0.5596038399356326,>1.0D,-67.2268089933634,6.999520863722748,,>1.0D,-5.820055222810168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,14,115,250,7000,13000,,,,1000,0,,,,8500,0,,,,10,,,6.861520375423007,-0.5619338961405458,>1.0D,-67.73725932532003,6.996957387141758,,>1.0D,-5.820055225911692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,15,115,250,6000,14000,,,,1000,0,,,,8500,0,,,,10,,,6.859811391023354,-0.5634609060140132,>1.0D,-68.2402005277463,6.994393910554604,,>1.0D,-5.82005523004705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,16,115,250,5000,15000,,,,1000,0,,,,8500,0,,,,10,,,6.857675160520087,-0.5657814285881372,>1.0D,-68.97583306889626,6.991403187863838,,>1.0D,-5.8200552358365645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,17,115,250,4000,16000,,,,1000,0,,,,8500,0,,,,10,,,6.8559661760933155,-0.5672823866317748,>1.0D,-69.46608534716513,6.9888397112495655,,>1.0D,-5.820055244520824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,18,115,250,3000,17000,,,,1000,0,,,,8500,0,,,,10,,,6.853829945538277,-0.5695914206579274,>1.0D,-69.94574470821289,6.986276234600778,,>1.0D,-5.820055258994599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,19,115,250,2000,18000,,,,1000,0,,,,8500,0,,,,10,,,6.852120960990702,-0.5710627878403591,>1.0D,-70.67248635748027,6.983285511771952,,>1.0D,-5.820055287942146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
